number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,system_attrs_grid_id,system_attrs_search_space,state
43,0.7043103053693895,2025-01-09 18:26:33.425266,2025-01-09 18:26:58.699561,0 days 00:00:25.274295,0.6,0.01,7,1,0.6,43,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
44,0.7022815750587871,2025-01-09 18:26:58.699814,2025-01-09 18:27:24.968582,0 days 00:00:26.268768,0.8,0.01,7,5,1.0,44,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
45,0.6940249824318181,2025-01-09 18:27:24.968860,2025-01-09 18:27:35.676989,0 days 00:00:10.708129,0.6,0.01,5,5,0.6,45,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
46,0.7471317786196146,2025-01-09 18:27:35.677239,2025-01-09 18:27:53.629047,0 days 00:00:17.951808,0.6,0.3,7,3,0.8,46,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
47,0.6665263904564201,2025-01-09 18:27:53.629357,2025-01-09 18:27:58.735461,0 days 00:00:05.106104,0.6,0.01,3,5,0.8,47,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
48,0.7490207712083017,2025-01-09 18:27:58.735705,2025-01-09 18:28:22.726687,0 days 00:00:23.990982,1.0,0.1,7,5,0.6,48,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
49,0.7425839019892494,2025-01-09 18:28:22.727281,2025-01-09 18:28:56.191583,0 days 00:00:33.464302,1.0,0.1,7,1,1.0,49,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
50,0.7516095783367123,2025-01-09 18:28:56.191939,2025-01-09 18:29:07.638956,0 days 00:00:11.447017,0.6,0.3,5,1,0.8,50,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
51,0.7481110930799109,2025-01-09 18:29:07.639200,2025-01-09 18:29:31.583297,0 days 00:00:23.944097,0.8,0.3,7,1,1.0,51,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
52,0.7028411623417488,2025-01-09 18:29:31.583532,2025-01-09 18:29:59.956191,0 days 00:00:28.372659,0.8,0.01,7,3,1.0,52,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
53,0.6939547586580967,2025-01-09 18:29:59.956427,2025-01-09 18:30:11.906768,0 days 00:00:11.950341,0.8,0.01,5,5,0.6,53,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
54,0.738875357329842,2025-01-09 18:30:11.907005,2025-01-09 18:30:17.833362,0 days 00:00:05.926357,0.8,0.1,3,3,0.6,54,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
55,0.7341175436805825,2025-01-09 18:30:17.833603,2025-01-09 18:30:23.345529,0 days 00:00:05.511926,0.6,0.1,3,5,0.6,55,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
56,0.6863981274313053,2025-01-09 18:30:23.345783,2025-01-09 18:30:37.043354,0 days 00:00:13.697571,1.0,0.01,5,5,1.0,56,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
57,0.7498604703303944,2025-01-09 18:30:37.043632,2025-01-09 18:30:55.296966,0 days 00:00:18.253334,0.8,0.3,7,5,0.8,57,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
58,0.7483211524825168,2025-01-09 18:30:55.297239,2025-01-09 18:31:12.933987,0 days 00:00:17.636748,0.8,0.3,7,5,0.6,58,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
59,0.6584799551390267,2025-01-09 18:31:12.934278,2025-01-09 18:31:18.939194,0 days 00:00:06.004916,1.0,0.01,3,5,1.0,59,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
60,0.7510496483793582,2025-01-09 18:31:18.939463,2025-01-09 18:31:25.304208,0 days 00:00:06.364745,1.0,0.3,3,3,1.0,60,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
61,0.7488808131957055,2025-01-09 18:31:25.304449,2025-01-09 18:31:38.727835,0 days 00:00:13.423386,1.0,0.3,5,3,1.0,61,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
62,0.7514693755566929,2025-01-09 18:31:38.728082,2025-01-09 18:31:45.160327,0 days 00:00:06.432245,1.0,0.3,3,1,1.0,62,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
63,0.705570270157148,2025-01-09 18:31:45.160560,2025-01-09 18:32:15.086790,0 days 00:00:29.926230,1.0,0.01,7,3,0.8,63,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
64,0.7451028524950734,2025-01-09 18:32:15.087767,2025-01-09 18:32:27.854946,0 days 00:00:12.767179,1.0,0.3,5,5,1.0,64,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
65,0.748601190891421,2025-01-09 18:32:27.855203,2025-01-09 18:32:41.430564,0 days 00:00:13.575361,1.0,0.1,5,5,0.6,65,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
66,0.7511194805252023,2025-01-09 18:32:41.430803,2025-01-09 18:32:54.262728,0 days 00:00:12.831925,0.8,0.3,5,1,0.6,66,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
67,0.6943046292128451,2025-01-09 18:32:54.262969,2025-01-09 18:33:05.160453,0 days 00:00:10.897484,0.6,0.01,5,5,0.8,67,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
68,0.6613490943972492,2025-01-09 18:33:05.160694,2025-01-09 18:33:10.642959,0 days 00:00:05.482265,0.8,0.01,3,5,1.0,68,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
69,0.7412543742998122,2025-01-09 18:33:10.643203,2025-01-09 18:33:39.557466,0 days 00:00:28.914263,1.0,0.1,7,3,1.0,69,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
70,0.7482508797553109,2025-01-09 18:33:39.557816,2025-01-09 18:34:01.054367,0 days 00:00:21.496551,0.6,0.3,7,1,1.0,70,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
71,0.6671562015131032,2025-01-09 18:34:01.054615,2025-01-09 18:34:06.319505,0 days 00:00:05.264890,0.6,0.01,3,3,0.8,71,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
72,0.7364963893133564,2025-01-09 18:34:06.319744,2025-01-09 18:34:12.431290,0 days 00:00:06.111546,0.8,0.1,3,1,0.6,72,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
73,0.7534980569138108,2025-01-09 18:34:12.431532,2025-01-09 18:34:17.964798,0 days 00:00:05.533266,0.6,0.3,3,5,0.8,73,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
74,0.7322284042314412,2025-01-09 18:34:17.965030,2025-01-09 18:34:24.029859,0 days 00:00:06.064829,0.8,0.1,3,5,1.0,74,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
75,0.7469916492698221,2025-01-09 18:34:24.030102,2025-01-09 18:34:44.816502,0 days 00:00:20.786400,0.6,0.1,7,5,0.8,75,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
76,0.74692152340307,2025-01-09 18:34:44.816786,2025-01-09 18:34:55.396336,0 days 00:00:10.579550,0.6,0.3,5,3,0.6,76,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
77,0.7059900707647098,2025-01-09 18:34:55.396603,2025-01-09 18:35:18.901373,0 days 00:00:23.504770,0.6,0.01,7,5,1.0,77,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
78,0.6938848286052833,2025-01-09 18:35:18.901650,2025-01-09 18:35:31.270543,0 days 00:00:12.368893,0.8,0.01,5,5,0.8,78,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
79,0.6901066476139704,2025-01-09 18:35:31.270782,2025-01-09 18:35:44.035747,0 days 00:00:12.764965,0.8,0.01,5,1,1.0,79,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
80,0.7516795818197528,2025-01-09 18:35:44.036009,2025-01-09 18:35:57.427741,0 days 00:00:13.391732,1.0,0.3,5,3,0.8,80,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
81,0.7453126426535138,2025-01-09 18:35:57.428110,2025-01-09 18:36:08.956510,0 days 00:00:11.528400,0.6,0.1,5,3,0.8,81,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
82,0.6943745592656586,2025-01-09 18:36:08.956780,2025-01-09 18:36:20.117290,0 days 00:00:11.160510,0.6,0.01,5,3,0.8,82,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
83,0.6683455264225209,2025-01-09 18:36:20.117528,2025-01-09 18:36:25.343550,0 days 00:00:05.226022,0.6,0.01,3,3,0.6,83,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
84,0.7534991583672153,2025-01-09 18:36:25.343805,2025-01-09 18:36:31.333435,0 days 00:00:05.989630,0.8,0.3,3,1,1.0,84,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
85,0.7066894936765561,2025-01-09 18:36:31.333732,2025-01-09 18:36:51.853036,0 days 00:00:20.519304,0.6,0.01,7,5,0.6,85,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
86,0.7357266202440771,2025-01-09 18:36:51.853286,2025-01-09 18:36:57.480055,0 days 00:00:05.626769,0.6,0.1,3,3,0.6,86,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
87,0.7502802464612138,2025-01-09 18:36:57.480291,2025-01-09 18:37:03.911481,0 days 00:00:06.431190,1.0,0.3,3,1,0.8,87,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
88,0.7501401660649059,2025-01-09 18:37:03.911719,2025-01-09 18:37:09.451929,0 days 00:00:05.540210,0.6,0.3,3,5,0.6,88,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
89,0.7499303759064655,2025-01-09 18:37:09.452170,2025-01-09 18:37:14.957333,0 days 00:00:05.505163,0.6,0.3,3,1,1.0,89,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
90,0.6945147375689358,2025-01-09 18:37:14.957603,2025-01-09 18:37:50.275233,0 days 00:00:35.317630,1.0,0.01,7,1,1.0,90,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
91,0.7474110337727643,2025-01-09 18:37:50.275573,2025-01-09 18:38:18.400066,0 days 00:00:28.124493,0.8,0.1,7,1,0.6,91,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
92,0.7082983744261122,2025-01-09 18:38:18.400308,2025-01-09 18:38:45.016684,0 days 00:00:26.616376,0.6,0.01,7,1,0.8,92,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
93,0.7050103157230515,2025-01-09 18:38:45.016928,2025-01-09 18:39:18.647593,0 days 00:00:33.630665,1.0,0.01,7,1,0.8,93,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
94,0.7305490794174829,2025-01-09 18:39:18.648059,2025-01-09 18:39:25.137716,0 days 00:00:06.489657,1.0,0.1,3,1,1.0,94,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
95,0.7484607188672359,2025-01-09 18:39:25.137984,2025-01-09 18:39:30.779407,0 days 00:00:05.641423,0.6,0.3,3,1,0.6,95,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
96,0.7321584986553702,2025-01-09 18:39:30.779727,2025-01-09 18:39:37.253072,0 days 00:00:06.473345,1.0,0.1,3,3,1.0,96,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
97,0.7478308833338106,2025-01-09 18:39:37.253309,2025-01-09 18:39:54.171730,0 days 00:00:16.918421,0.6,0.3,7,5,1.0,97,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
98,0.7476914393328031,2025-01-09 18:39:54.171974,2025-01-09 18:40:14.370294,0 days 00:00:20.198320,0.6,0.1,7,5,0.6,98,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
99,0.7484609636346591,2025-01-09 18:40:14.370532,2025-01-09 18:40:34.767581,0 days 00:00:20.397049,0.8,0.3,7,3,1.0,99,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
100,0.6621884508449494,2025-01-09 18:40:34.767925,2025-01-09 18:40:40.739017,0 days 00:00:05.971092,1.0,0.01,3,3,0.8,100,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
101,0.7453127160837407,2025-01-09 18:40:40.739273,2025-01-09 18:40:53.396334,0 days 00:00:12.657061,0.8,0.1,5,5,1.0,101,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
102,0.661208989524199,2025-01-09 18:40:53.396569,2025-01-09 18:40:58.981582,0 days 00:00:05.585013,0.8,0.01,3,3,1.0,102,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
103,0.7488107852359227,2025-01-09 18:40:58.981819,2025-01-09 18:41:23.079983,0 days 00:00:24.098164,0.8,0.1,7,3,0.6,103,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
104,0.7509798407102563,2025-01-09 18:41:23.080307,2025-01-09 18:41:29.131341,0 days 00:00:06.051034,0.8,0.3,3,1,0.8,104,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
105,0.751819613262576,2025-01-09 18:41:29.131587,2025-01-09 18:41:49.388017,0 days 00:00:20.256430,1.0,0.3,7,5,1.0,105,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
106,0.7471317051893875,2025-01-09 18:41:49.388313,2025-01-09 18:42:01.970273,0 days 00:00:12.581960,0.8,0.1,5,5,0.8,106,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
107,0.7453125447465446,2025-01-09 18:42:01.970510,2025-01-09 18:42:13.591525,0 days 00:00:11.621015,0.6,0.1,5,3,1.0,107,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
108,0.6940250313853029,2025-01-09 18:42:13.591765,2025-01-09 18:42:24.896811,0 days 00:00:11.305046,0.6,0.01,5,3,1.0,108,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
109,0.7349570225119942,2025-01-09 18:42:24.897062,2025-01-09 18:42:30.537948,0 days 00:00:05.640886,0.6,0.1,3,1,0.6,109,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
110,0.7472015862887164,2025-01-09 18:42:30.538196,2025-01-09 18:42:53.753185,0 days 00:00:23.214989,0.6,0.1,7,3,1.0,110,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
111,0.7525892599481436,2025-01-09 18:42:53.753445,2025-01-09 18:43:00.174467,0 days 00:00:06.421022,1.0,0.3,3,3,0.8,111,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
112,0.706199934353377,2025-01-09 18:43:00.174740,2025-01-09 18:43:27.903166,0 days 00:00:27.728426,0.6,0.01,7,1,1.0,112,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
113,0.7479714043114802,2025-01-09 18:43:27.903434,2025-01-09 18:43:46.512580,0 days 00:00:18.609146,0.8,0.3,7,5,1.0,113,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
114,0.7446821217713036,2025-01-09 18:43:46.512886,2025-01-09 18:44:12.433988,0 days 00:00:25.921102,0.6,0.1,7,1,0.8,114,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
115,0.7515404560163955,2025-01-09 18:44:12.434299,2025-01-09 18:44:18.870597,0 days 00:00:06.436298,1.0,0.3,3,3,0.6,115,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
116,0.7519591306938105,2025-01-09 18:44:18.870894,2025-01-09 18:44:40.486273,0 days 00:00:21.615379,1.0,0.3,7,3,0.8,116,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
