number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,system_attrs_grid_id,system_attrs_search_space,state
232,0.7458025936045699,2025-01-09 19:10:02.419798,2025-01-09 19:10:14.148029,0 days 00:00:11.728231,0.6,0.1,5,1,0.6,232,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
233,0.7068294761658945,2025-01-09 19:10:14.148331,2025-01-09 19:10:36.797160,0 days 00:00:22.648829,0.6,0.01,7,3,0.6,233,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
234,0.7480408693061895,2025-01-09 19:10:36.797436,2025-01-09 19:11:05.120075,0 days 00:00:28.322639,1.0,0.1,7,3,0.8,234,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
235,0.6938150209361815,2025-01-09 19:11:05.120319,2025-01-09 19:11:16.296339,0 days 00:00:11.176020,0.6,0.01,5,1,0.6,235,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
236,0.707249252296714,2025-01-09 19:11:16.296671,2025-01-09 19:11:43.393973,0 days 00:00:27.097302,0.8,0.01,7,3,0.8,236,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
237,0.73971500749845,2025-01-09 19:11:43.394291,2025-01-09 19:11:49.779934,0 days 00:00:06.385643,1.0,0.1,3,5,0.6,237,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
238,0.751119676339141,2025-01-09 19:11:49.780186,2025-01-09 19:12:00.640668,0 days 00:00:10.860482,0.6,0.3,5,3,0.8,238,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
239,0.7381056616907897,2025-01-09 19:12:00.640912,2025-01-09 19:12:07.027641,0 days 00:00:06.386729,1.0,0.1,3,3,0.6,239,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
240,0.7492302186923496,2025-01-09 19:12:07.027880,2025-01-09 19:12:20.117886,0 days 00:00:13.090006,0.8,0.1,5,1,0.6,240,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
241,0.74181381472232,2025-01-09 19:12:20.118138,2025-01-09 19:12:46.509391,0 days 00:00:26.391253,0.6,0.1,7,1,1.0,241,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
242,0.6907361894264878,2025-01-09 19:12:46.509654,2025-01-09 19:13:00.565801,0 days 00:00:14.056147,1.0,0.01,5,1,0.8,242,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
